Respondent_ID,Timestamp,Name,Age,Village Name,Caste,caste_id,Education Level,edu_level,Land (Acres),Household Members,Cattle Count,Cattle Type,cattle_type,Primary Crop,primary_crop,Milk Usage,milk_usage,Income Received,income_received,Sangam Account,sangam_account,Monthly Dairy Income,Primary Income Use,income_use,Loan Source,loan_source,Loan Purpose,loan_purpose,Financial Security Felt?,fin_security,Buying Work Items,buy_work_item,Restrictions on Travel?,travel_restrict,Status Shift?,status_shift,State Schemes,Dist to Collection Center,collection_center_dist,Dist to Vet,vet_dist,Dist to Market,mkt_dist,Dist to Bank,bank_dist,Vet Visit Freq,vet_freq,Digital Tool Usage,digital_tool_use,Milking Method,milking_method,Fodder Availability,fodder_availability,Total Cattle,Milking Cattle,Daily Milk Yield (Lts),Decision: HH Exp,spend_decision,Decision: Savings,saving_decision,Challenges Faced,challenges,Leadership Role,org_role,Husband Support?,husband_support
14,12/10/2025 0:55,Parvathi,42,Gatla Narsingapur,BC,2,Primary,1,2.0,5,3,Buffalo,0,Cotton,1,Both,2,Cash,0,Yes,0,16000,Education,0,Thrift,0,House,7,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,No,1,Manual,0,Manageable,5,4,3,14,Joint,2,Joint,2,High cost of feed,4,Member,0,Yes,0
15,12/9/2025 23:10,Padma,32,Huzurabad,BC,2,12th Class,3,2.0,4,2,HF Cow,2,Vegetables,3,Sell,0,Cash,0,Yes,0,12500,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,11,Joint,2,Joint,2,Fodder not available,2,Member,0,Yes,0
16,12/10/2025 0:10,Radhika,43,Mulukanoor,OC,1,Degree,4,10.0,4,8,HF Cow,2,Paddy,2,Both,2,Cash,0,Yes,0,55000,Asset Purchase,5,Bank,1,Tractor,2,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,12,8,60,Self,0,Self,0,Labor shortage,5,Director,2,Yes,0
17,12/10/2025 0:40,Anjali,23,Huzurabad,BC,2,Degree,4,0.0,3,2,HF Cow,2,No crop,0,Sell,0,Cash,0,Yes,0,14500,Savings,4,Bank,1,Education,5,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,Monthly,5,Yes,0,Manual,0,Buy from outside,0,2,2,13,Self,0,Self,0,Unaware of Insurance,10,Member,0,Unmarried,2
18,12/10/2025 0:05,Shanti,29,Thanda (Tribal),ST,4,12th Class,3,2.0,5,3,Mixed,5,Maize,5,Both,2,Cash,0,Yes,0,15500,Household Exp,6,MACS,3,Crop Investment,1,Yes,0,Self,1,Yes,0,Somewhat,2,,> 3 km,2,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Homegrown,4,5,3,15,Joint,2,Self,0,Transport difficulty,9,Member,0,Yes,0
19,12/9/2025 22:43,Meenakshi,40,Mulukanoor,OC,1,12th Class,3,2.0,4,1,Cow,6,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,5000,Crop Investment,3,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,,3-5 km,3,> 5 km,4,1-3 km,1,3-5 km,3,Monthly,5,Yes,0,Manual,0,Shortage,7,10,6,6,Joint,2,Self,0,,15,President,3,Yes,0
20,12/9/2025 23:05,Bujjamma,45,Thanda (Tribal),ST,4,Primary,1,1.0,6,3,Buffalo,0,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,16000,Loan Repayment,2,MACS,3,Marriage,8,Yes,0,Self,1,Yes,0,Yes,0,Dalit Bandhu,> 5 km,4,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Hard to find,3,5,3,20,Self,0,Self,0,Transport difficulty,9,Member,0,Yes,0
21,12/10/2025 1:30,Laxmi,46,Huzurabad,BC,2,Primary,1,1.0,5,2,Jersey Cow,3,Vegetables,3,Both,2,Cash,0,Yes,0,12000,Loan Repayment,2,Thrift,0,Old Loans,6,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,10,Self,0,Self,0,Unaware of subsidies,13,Member,0,Yes,0
22,12/10/2025 0:40,Anjali,23,Huzurabad,BC,2,Degree,4,0.0,3,2,HF Cow,2,No crop,0,Sell,0,Cash,0,Yes,0,14500,Savings,4,Bank,1,Education,5,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,Monthly,5,Yes,0,Manual,0,Buy from outside,0,2,2,13,Self,0,Self,0,Unaware of Insurance,10,Member,0,Unmarried,2
23,12/10/2025 1:10,Gouramma,50,Kothapally,SC,3,Illiterate,0,0.0,2,2,Buffalo,0,Fodder,4,Sell,0,Cash,0,Yes,0,8000,Food/Groceries,1,Private Lender,2,Health,3,No,1,Family Member,2,Yes,0,No,1,Aasara Pension,> 3 km,2,> 5 km,4,> 5 km,4,> 5 km,4,Rarely,1,No,1,Manual,0,Scarce,6,2,1,6,Husband,1,Husband,1,Doctor comes late,1,Member,0,No,1
24,12/9/2025 23:05,Bujjamma,45,Thanda (Tribal),ST,4,Primary,1,1.0,6,3,Buffalo,0,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,16000,Loan Repayment,2,MACS,3,Marriage,8,Yes,0,Self,1,Yes,0,Yes,0,Dalit Bandhu,> 5 km,4,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Hard to find,3,5,3,20,Self,0,Self,0,Transport difficulty,9,Member,0,Yes,0
25,12/10/2025 0:40,Anjali,23,Huzurabad,BC,2,Degree,4,0.0,3,2,HF Cow,2,No crop,0,Sell,0,Cash,0,Yes,0,14500,Savings,4,Bank,1,Education,5,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,Monthly,5,Yes,0,Manual,0,Buy from outside,0,2,2,13,Self,0,Self,0,Unaware of Insurance,10,Member,0,Unmarried,2
26,12/9/2025 22:43,Meenakshi,40,Mulukanoor,OC,1,12th Class,3,2.0,4,1,Cow,6,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,5000,Crop Investment,3,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,,3-5 km,3,> 5 km,4,1-3 km,1,3-5 km,3,Monthly,5,Yes,0,Manual,0,Shortage,7,10,6,6,Joint,2,Self,0,,15,President,3,Yes,0
27,12/10/2025 0:50,Jyothi,35,Mulukanoor,OC,1,12th Class,3,6.0,4,5,Mixed,5,Maize,5,Sell,0,Cash,0,Yes,0,35000,Asset Purchase,5,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,8,5,32,Joint,2,Joint,2,,15,Director,2,Yes,0
28,12/10/2025 0:20,Saritha,25,Kothapally,SC,3,12th Class,3,0.5,3,2,Jersey Cow,3,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,13000,Loan Repayment,2,MACS,3,Health,3,Somewhat,2,Self,1,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,Yes,0,Manual,0,Shortage,7,2,2,11,Joint,2,Joint,2,Unaware of subsidies,13,Member,0,Yes,0
29,12/9/2025 23:10,Padma,32,Huzurabad,BC,2,12th Class,3,2.0,4,2,HF Cow,2,Vegetables,3,Sell,0,Cash,0,Yes,0,12500,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,11,Joint,2,Joint,2,Fodder not available,2,Member,0,Yes,0
30,12/10/2025 0:55,Parvathi,42,Gatla Narsingapur,BC,2,Primary,1,2.0,5,3,Buffalo,0,Cotton,1,Both,2,Cash,0,Yes,0,16000,Education,0,Thrift,0,House,7,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,No,1,Manual,0,Manageable,5,4,3,14,Joint,2,Joint,2,High cost of feed,4,Member,0,Yes,0
31,12/10/2025 0:00,Manjula,36,Gatla Narsingapur,BC,2,Primary,1,3.0,4,3,Buffalo,0,Fodder,4,Both,2,Cash,0,Yes,0,18000,Loan Repayment,2,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,No,1,Manual,0,Manageable,5,4,3,15,Joint,2,Joint,2,Vet unavailable at night,14,Member,0,Yes,0
32,12/10/2025 1:20,Renuka,27,Gatla Narsingapur,BC,2,10th Class,2,2.0,4,3,Buffalo,0,Cotton,1,Both,2,Cash,0,Yes,0,17500,Education,0,Thrift,0,Education,5,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,Yes,0,Manual,0,Manageable,5,4,3,15,Joint,2,Joint,2,Low milk price,7,Member,0,Yes,0
33,12/10/2025 0:50,Jyothi,35,Mulukanoor,OC,1,12th Class,3,6.0,4,5,Mixed,5,Maize,5,Sell,0,Cash,0,Yes,0,35000,Asset Purchase,5,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,8,5,32,Joint,2,Joint,2,,15,Director,2,Yes,0
34,12/9/2025 23:35,Suvarna,34,Kothapally,SC,3,Primary,1,1.0,4,2,Buffalo,0,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,11000,Loan Repayment,2,Thrift,0,Old Loans,6,Somewhat,2,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,Monthly,5,No,1,Manual,0,Costly,1,3,2,10,Self,0,Self,0,Vet charges too high,11,Member,0,No,1
35,12/10/2025 1:10,Gouramma,50,Kothapally,SC,3,Illiterate,0,0.0,2,2,Buffalo,0,Fodder,4,Sell,0,Cash,0,Yes,0,8000,Food/Groceries,1,Private Lender,2,Health,3,No,1,Family Member,2,Yes,0,No,1,Aasara Pension,> 3 km,2,> 5 km,4,> 5 km,4,> 5 km,4,Rarely,1,No,1,Manual,0,Scarce,6,2,1,6,Husband,1,Husband,1,Doctor comes late,1,Member,0,No,1
36,12/9/2025 23:30,Rajeshwari,41,Mulukanoor,OC,1,12th Class,3,8.0,6,6,Mixed,5,Paddy,2,Sell,0,Cash,0,Yes,0,45000,Asset Purchase,5,Bank,1,Business,9,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,10,6,40,Joint,2,Joint,2,Unaware of subsidies,13,Director,2,Yes,0
37,12/9/2025 23:15,Narsamma,60,Kothapally,BC,2,Illiterate,0,0.0,1,1,Buffalo,0,Fodder,4,Sell,0,Cash,0,No,1,4500,Food/Groceries,1,No,4,Unspecified,0,No,1,No,4,No,1,Yes,0,Aasara Pension,< 1 km,0,1-3 km,1,1-3 km,1,< 1 km,0,Never,0,No,1,Manual,0,Buy from outside,0,1,1,4,Self,0,Self,0,Animal sickness,0,Member,0,Unmarried,2
38,12/10/2025 0:50,Jyothi,35,Mulukanoor,OC,1,12th Class,3,6.0,4,5,Mixed,5,Maize,5,Sell,0,Cash,0,Yes,0,35000,Asset Purchase,5,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,8,5,32,Joint,2,Joint,2,,15,Director,2,Yes,0
39,12/9/2025 23:30,Rajeshwari,41,Mulukanoor,OC,1,12th Class,3,8.0,6,6,Mixed,5,Paddy,2,Sell,0,Cash,0,Yes,0,45000,Asset Purchase,5,Bank,1,Business,9,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,10,6,40,Joint,2,Joint,2,Unaware of subsidies,13,Director,2,Yes,0
40,12/9/2025 23:35,Suvarna,34,Kothapally,SC,3,Primary,1,1.0,4,2,Buffalo,0,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,11000,Loan Repayment,2,Thrift,0,Old Loans,6,Somewhat,2,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,Monthly,5,No,1,Manual,0,Costly,1,3,2,10,Self,0,Self,0,Vet charges too high,11,Member,0,No,1
41,12/10/2025 1:05,Rani,39,Huzurabad,BC,2,12th Class,3,1.5,4,2,HF Cow,2,Vegetables,3,Both,2,Cash,0,Yes,0,13000,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,12,Self,0,Self,0,Fodder too expensive,3,Member,0,Yes,0
42,12/10/2025 1:25,Swapna,24,Thanda (Tribal),ST,4,12th Class,3,1.0,3,2,Cow,6,Maize,5,Both,2,Cash,0,Yes,0,10500,Household Exp,6,MACS,3,House,7,Yes,0,Self,1,Yes,0,Somewhat,2,,> 3 km,2,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Homegrown,4,3,2,10,Joint,2,Self,0,Transport difficulty,9,Member,0,Yes,0
43,12/9/2025 23:00,Renuka,24,Mulukanoor,OC,1,Degree,4,5.0,5,4,Mixed,5,Maize,5,Both,2,Cash,0,Yes,0,28000,Asset Purchase,5,No,4,Unspecified,0,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,6,4,22,Self,0,Self,0,,15,Secretary,1,Yes,0
44,12/10/2025 0:15,Latha,33,Huzurabad,BC,2,10th Class,2,1.0,4,2,Buffalo,0,Vegetables,3,Both,2,Cash,0,Yes,0,11500,Education,0,Thrift,0,Education,5,Yes,0,Self,1,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Costly,1,2,2,9,Self,0,Self,0,High cost of feed,4,Member,0,Yes,0
45,12/10/2025 0:10,Radhika,43,Mulukanoor,OC,1,Degree,4,10.0,4,8,HF Cow,2,Paddy,2,Both,2,Cash,0,Yes,0,55000,Asset Purchase,5,Bank,1,Tractor,2,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,12,8,60,Self,0,Self,0,Labor shortage,5,Director,2,Yes,0
46,12/9/2025 22:43,Meenakshi,40,Mulukanoor,OC,1,12th Class,3,2.0,4,1,Cow,6,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,5000,Crop Investment,3,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,,3-5 km,3,> 5 km,4,1-3 km,1,3-5 km,3,Monthly,5,Yes,0,Manual,0,Shortage,7,10,6,6,Joint,2,Self,0,,15,President,3,Yes,0
47,12/9/2025 23:10,Padma,32,Huzurabad,BC,2,12th Class,3,2.0,4,2,HF Cow,2,Vegetables,3,Sell,0,Cash,0,Yes,0,12500,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,11,Joint,2,Joint,2,Fodder not available,2,Member,0,Yes,0
48,12/9/2025 23:10,Padma,32,Huzurabad,BC,2,12th Class,3,2.0,4,2,HF Cow,2,Vegetables,3,Sell,0,Cash,0,Yes,0,12500,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,11,Joint,2,Joint,2,Fodder not available,2,Member,0,Yes,0
49,12/10/2025 0:00,Manjula,36,Gatla Narsingapur,BC,2,Primary,1,3.0,4,3,Buffalo,0,Fodder,4,Both,2,Cash,0,Yes,0,18000,Loan Repayment,2,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,No,1,Manual,0,Manageable,5,4,3,15,Joint,2,Joint,2,Vet unavailable at night,14,Member,0,Yes,0
50,12/10/2025 1:20,Renuka,27,Gatla Narsingapur,BC,2,10th Class,2,2.0,4,3,Buffalo,0,Cotton,1,Both,2,Cash,0,Yes,0,17500,Education,0,Thrift,0,Education,5,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,3-5 km,3,3-5 km,3,3-5 km,3,Monthly,5,Yes,0,Manual,0,Manageable,5,4,3,15,Joint,2,Joint,2,Low milk price,7,Member,0,Yes,0
51,12/9/2025 23:05,Bujjamma,45,Thanda (Tribal),ST,4,Primary,1,1.0,6,3,Buffalo,0,Cotton,1,Sell,0,Bank Transfer,1,Yes,0,16000,Loan Repayment,2,MACS,3,Marriage,8,Yes,0,Self,1,Yes,0,Yes,0,Dalit Bandhu,> 5 km,4,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Hard to find,3,5,3,20,Self,0,Self,0,Transport difficulty,9,Member,0,Yes,0
52,12/9/2025 23:15,Narsamma,60,Kothapally,BC,2,Illiterate,0,0.0,1,1,Buffalo,0,Fodder,4,Sell,0,Cash,0,No,1,4500,Food/Groceries,1,No,4,Unspecified,0,No,1,No,4,No,1,Yes,0,Aasara Pension,< 1 km,0,1-3 km,1,1-3 km,1,< 1 km,0,Never,0,No,1,Manual,0,Buy from outside,0,1,1,4,Self,0,Self,0,Animal sickness,0,Member,0,Unmarried,2
53,12/9/2025 23:15,Narsamma,60,Kothapally,BC,2,Illiterate,0,0.0,1,1,Buffalo,0,Fodder,4,Sell,0,Cash,0,No,1,4500,Food/Groceries,1,No,4,Unspecified,0,No,1,No,4,No,1,Yes,0,Aasara Pension,< 1 km,0,1-3 km,1,1-3 km,1,< 1 km,0,Never,0,No,1,Manual,0,Buy from outside,0,1,1,4,Self,0,Self,0,Animal sickness,0,Member,0,Unmarried,2
54,12/10/2025 0:50,Jyothi,35,Mulukanoor,OC,1,12th Class,3,6.0,4,5,Mixed,5,Maize,5,Sell,0,Cash,0,Yes,0,35000,Asset Purchase,5,Bank,1,Crop Investment,1,Yes,0,Self,1,No,1,Yes,0,Rythu Bandhu,< 1 km,0,< 1 km,0,1-3 km,1,< 1 km,0,Weekly,3,Yes,0,Machine,1,Good,2,8,5,32,Joint,2,Joint,2,,15,Director,2,Yes,0
55,12/9/2025 23:10,Padma,32,Huzurabad,BC,2,12th Class,3,2.0,4,2,HF Cow,2,Vegetables,3,Sell,0,Cash,0,Yes,0,12500,Crop Investment,3,Thrift,0,Borewell,4,Yes,0,Joint,0,No,1,Yes,0,,1-3 km,1,1-3 km,1,1-3 km,1,1-3 km,1,On Call,2,Yes,0,Manual,0,Shortage,7,3,2,11,Joint,2,Joint,2,Fodder not available,2,Member,0,Yes,0
56,12/10/2025 0:35,Kanakam,58,Thanda (Tribal),ST,4,Illiterate,0,2.0,6,4,Cow,6,Cotton,1,Sell,0,Cash,0,Yes,0,12000,Household Exp,6,No,4,Unspecified,0,Yes,0,Husband,3,Yes,0,No,1,Rythu Bandhu,> 5 km,4,> 5 km,4,> 5 km,4,> 5 km,4,Rarely,1,No,1,Manual,0,Homegrown,4,6,4,20,Husband,1,Husband,1,Transport difficulty,9,Member,0,Yes,0
57,12/10/2025 0:05,Shanti,29,Thanda (Tribal),ST,4,12th Class,3,2.0,5,3,Mixed,5,Maize,5,Both,2,Cash,0,Yes,0,15500,Household Exp,6,MACS,3,Crop Investment,1,Yes,0,Self,1,Yes,0,Somewhat,2,,> 3 km,2,> 5 km,4,> 5 km,4,> 5 km,4,Monthly,5,No,1,Manual,0,Homegrown,4,5,3,15,Joint,2,Self,0,Transport difficulty,9,Member,0,Yes,0
